File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MYD13Q1_006__250m_16_days_NDVI_doy2002185_aid0001,_250m_16_days_NDVI,aid0001,2002-07-04,38436.0,-0.2,0.8525,"(-0.2,0.8525)",0.5353647,0.2015148,0.0406082,0.6599,0.8525,0.593,0.2457,0.4942
MYD13Q1_006__250m_16_days_NDVI_doy2002201_aid0001,_250m_16_days_NDVI,aid0001,2002-07-20,38694.0,-0.2,0.8511,"(-0.2,0.8511)",0.494488,0.1917729,0.0367769,0.6147,0.8511,0.5443,0.1893,0.4445
MYD13Q1_006__250m_16_days_NDVI_doy2002217_aid0001,_250m_16_days_NDVI,aid0001,2002-08-05,38835.0,-0.2,0.8403,"(-0.2,0.8403)",0.4586202,0.1832189,0.0335692,0.57445,0.8279,0.511,0.1431,0.4018
MYD13Q1_006__250m_16_days_NDVI_doy2002233_aid0001,_250m_16_days_NDVI,aid0001,2002-08-21,39563.0,-0.2,0.8885,"(-0.2,0.8885)",0.4622959,0.207682,0.0431318,0.5946,0.867,0.5249,0.1221,0.4056
MYD13Q1_006__250m_16_days_NDVI_doy2002249_aid0001,_250m_16_days_NDVI,aid0001,2002-09-06,39952.0,-0.2,0.8647,"(-0.2,0.8647)",0.4994459,0.2118586,0.0448841,0.6379,0.8647,0.57175,0.1507,0.442975
MYD13Q1_006__250m_16_days_NDVI_doy2002265_aid0001,_250m_16_days_NDVI,aid0001,2002-09-22,40079.0,-0.2,0.876,"(-0.2,0.876)",0.5248227,0.2236586,0.0500232,0.6746,0.876,0.6057,0.1329,0.4579
MYD13Q1_006__250m_16_days_NDVI_doy2002281_aid0001,_250m_16_days_NDVI,aid0001,2002-10-08,38969.0,-0.1994,0.9206,"(-0.1994,0.9206)",0.6161697,0.2501257,0.0625629,0.7841,0.9206,0.7187,0.1847,0.5443
MYD13Q1_006__250m_16_days_NDVI_doy2002297_aid0001,_250m_16_days_NDVI,aid0001,2002-10-24,39061.0,-0.2,0.9167,"(-0.2,0.9167)",0.6226194,0.2490745,0.0620381,0.7901,0.9167,0.7248,0.194,0.5516
MYD13Q1_006__250m_16_days_NDVI_doy2002313_aid0001,_250m_16_days_NDVI,aid0001,2002-11-09,39999.0,-0.2,0.8868,"(-0.2,0.8868)",0.5865126,0.2633616,0.0693593,0.76565,0.8868,0.6962,0.1284,0.51075
MYD13Q1_006__250m_16_days_NDVI_doy2002329_aid0001,_250m_16_days_NDVI,aid0001,2002-11-25,40001.0,-0.2,0.9427,"(-0.2,0.9427)",0.6158089,0.2622121,0.0687552,0.7811,0.9427,0.729,0.2604,0.5727
MYD13Q1_006__250m_16_days_NDVI_doy2002345_aid0001,_250m_16_days_NDVI,aid0001,2002-12-11,38728.0,-0.2,0.8921,"(-0.2,0.8921)",0.61488,0.2229941,0.0497264,0.7548,0.8921,0.6966,0.2993,0.5726
MYD13Q1_006__250m_16_days_NDVI_doy2002361_aid0001,_250m_16_days_NDVI,aid0001,2002-12-27,39265.0,-0.2,0.9233,"(-0.2,0.9233)",0.6220573,0.2221058,0.049331,0.7609,0.9233,0.7023,0.3164,0.5831
MYD13Q1_006__250m_16_days_NDVI_doy2003009_aid0001,_250m_16_days_NDVI,aid0001,2003-01-09,40330.0,-0.2,0.9233,"(-0.2,0.9233)",0.5907412,0.2571762,0.0661396,0.7552,0.9233,0.689,0.2313,0.5456
MYD13Q1_006__250m_16_days_NDVI_doy2003025_aid0001,_250m_16_days_NDVI,aid0001,2003-01-25,42556.0,-0.2,0.9598,"(-0.2,0.9598)",0.4996471,0.2967125,0.0880383,0.7115,0.9598,0.6232,-0.0797,0.3949
MYD13Q1_006__250m_16_days_NDVI_doy2003041_aid0001,_250m_16_days_NDVI,aid0001,2003-02-10,38125.0,-0.2,0.9814,"(-0.2,0.9814)",0.5628644,0.225075,0.0506588,0.7095,0.9814,0.6422,0.21,0.5097
MYD13Q1_006__250m_16_days_NDVI_doy2003057_aid0001,_250m_16_days_NDVI,aid0001,2003-02-26,37763.0,-0.2,0.9039,"(-0.2,0.9039)",0.5765018,0.2251537,0.0506942,0.7286,0.9039,0.6564,0.1874,0.5121
MYD13Q1_006__250m_16_days_NDVI_doy2003073_aid0001,_250m_16_days_NDVI,aid0001,2003-03-14,37985.0,-0.2,0.8935,"(-0.2,0.8935)",0.4894531,0.2413071,0.0582291,0.6662,0.8935,0.567,-0.0243,0.39
MYD13Q1_006__250m_16_days_NDVI_doy2003089_aid0001,_250m_16_days_NDVI,aid0001,2003-03-30,37773.0,-0.2,0.8833,"(-0.2,0.8833)",0.4989227,0.2369403,0.0561407,0.6742,0.8833,0.5758,-0.0323,0.3916
MYD13Q1_006__250m_16_days_NDVI_doy2003105_aid0001,_250m_16_days_NDVI,aid0001,2003-04-15,40045.0,-0.2,0.8763,"(-0.2,0.8763)",0.4651681,0.2698537,0.072821,0.6713,0.8763,0.5647,-0.1887,0.3273
MYD13Q1_006__250m_16_days_NDVI_doy2003121_aid0001,_250m_16_days_NDVI,aid0001,2003-05-01,41103.0,-0.2,0.8793,"(-0.2,0.8793)",0.4650932,0.291656,0.0850632,0.6817,0.8793,0.5799,-0.2,0.32735
MYD13Q1_006__250m_16_days_NDVI_doy2003137_aid0001,_250m_16_days_NDVI,aid0001,2003-05-17,39488.0,-0.2,0.8768,"(-0.2,0.8768)",0.5292197,0.2702326,0.0730256,0.7162,0.8768,0.6352,0.0412,0.446175
